"","Name","Ticker","Sector","name_tick"
"74","Brdr. A & O Johansen præf.","AOJ-P.CO","Industrials","Brdr. A & O Johansen præf. (AOJ-P.CO)"
"75","Athena Investments","ATHENA.CO","Utilities","Athena Investments (ATHENA.CO)"
"76","Atlantic Petroleum","ATLA-DKK.CO","Oil & Gas","Atlantic Petroleum (ATLA-DKK.CO)"
"77","Brøndby IF","BIF.CO","Consumer Services","Brøndby IF (BIF.CO)"
"78","BioPorto","BIOPOR.CO","Health Care","BioPorto (BIOPOR.CO)"
"79","Blue Vision A","BLVIS-A.CO","Financials","Blue Vision A (BLVIS-A.CO)"
"80","Boliga Gruppen","BOLIGA.CO","Consumer Services","Boliga Gruppen (BOLIGA.CO)"
"81","F.E. Bording B","BORD-B.CO","Industrials","F.E. Bording B (BORD-B.CO)"
"82","BoStad B","BOSTAD-B.CO","Financials","BoStad B (BOSTAD-B.CO)"
"83","CBRAIN","CBRAIN.CO","Technology","CBRAIN (CBRAIN.CO)"
"84","Cemat","CEMAT.CO","Financials","Cemat (CEMAT.CO)"
"85","Copenhagen Capital Præf","CPHCAP-PREF.CO","Financials","Copenhagen Capital Præf (CPHCAP-PREF.CO)"
"86","Copenhagen Capital Stam","CPHCAP-ST.CO","Financials","Copenhagen Capital Stam (CPHCAP-ST.CO)"
"87","Danske Andelskassers Bank","DAB.CO","Financials","Danske Andelskassers Bank (DAB.CO)"
"88","Dantax","DANT.CO","Consumer Goods","Dantax (DANT.CO)"
"89","Den Jyske Sparekasse","DJS.CO","Financials","Den Jyske Sparekasse (DJS.CO)"
"90","Djurslands Bank","DJUR.CO","Financials","Djurslands Bank (DJUR.CO)"
"91","EAC Invest","EAC.CO","Industrials","EAC Invest (EAC.CO)"
"92","Fast Ejendom Danmark","FED.CO","Financials","Fast Ejendom Danmark (FED.CO)"
"93","FirstFarms","FFARMS.CO","Consumer Goods","FirstFarms (FFARMS.CO)"
"94","Flügger group B","FLUG-B.CO","Industrials","Flügger group B (FLUG-B.CO)"
"95","Fynske Bank","FYNBK.CO","Financials","Fynske Bank (FYNBK.CO)"
"96","Gabriel Holding","GABR.CO","Consumer Goods","Gabriel Holding (GABR.CO)"
"97","German High Street Properties","GERHSP.CO","Financials","German High Street Properties (GERHSP.CO)"
"98","Glunz & Jensen Holding","GJ.CO","Industrials","Glunz & Jensen Holding (GJ.CO)"
"99","Grønlandsbanken","GRLA.CO","Financials","Grønlandsbanken (GRLA.CO)"
"100","Gyldendal A","GYLD-A.CO","Consumer Services","Gyldendal A (GYLD-A.CO)"
"101","Gyldendal B","GYLD-B.CO","Consumer Services","Gyldendal B (GYLD-B.CO)"
"102","Harboes Bryggeri B","HARB-B.CO","Consumer Goods","Harboes Bryggeri B (HARB-B.CO)"
"103","Hvidbjerg Bank","HVID.CO","Financials","Hvidbjerg Bank (HVID.CO)"
"104","InterMail","IMAIL.CO","Industrials","InterMail (IMAIL.CO)"
"105","Brd. Klee B","KLEE-B.CO","Industrials","Brd. Klee B (KLEE-B.CO)"
"106","Kreditbanken","KRE.CO","Financials","Kreditbanken (KRE.CO)"
"107","Lollands Bank","LOLB.CO","Financials","Lollands Bank (LOLB.CO)"
"108","Luxor B","LUXOR-B.CO","Financials","Luxor B (LUXOR-B.CO)"
"109","Migatronic B","MIGA-B.CO","Industrials","Migatronic B (MIGA-B.CO)"
"110","Møns Bank","MNBA.CO","Financials","Møns Bank (MNBA.CO)"
"111","MT Højgaard Holding","MTHH.CO","Industrials","MT Højgaard Holding (MTHH.CO)"
"112","Newcap Holding","NEWCAP.CO","Financials","Newcap Holding (NEWCAP.CO)"
"113","Nordic Shipholding","NORDIC.CO","Oil & Gas","Nordic Shipholding (NORDIC.CO)"
"114","North Media","NORTHM.CO","Consumer Services","North Media (NORTHM.CO)"
"115","Nordfyns Bank","NRDF.CO","Financials","Nordfyns Bank (NRDF.CO)"
"116","NTR Holding B","NTR-B.CO","Industrials","NTR Holding B (NTR-B.CO)"
"117","Onxeo","ONXEO.CO","Health Care","Onxeo (ONXEO.CO)"
"118","PARKEN Sport & Entertainment","PARKEN.CO","Consumer Services","PARKEN Sport & Entertainment (PARKEN.CO)"
"119","Prime Office","PRIMOF.CO","Financials","Prime Office (PRIMOF.CO)"
"120","Park Street Nordicom A","PSNRDC-A.CO","Financials","Park Street Nordicom A (PSNRDC-A.CO)"
"121","Roblon B","RBLN-B.CO","Industrials","Roblon B (RBLN-B.CO)"
"122","Rias B","RIAS-B.CO","Industrials","Rias B (RIAS-B.CO)"
"123","Rovsing","ROV.CO","Industrials","Rovsing (ROV.CO)"
"124","Salling Bank","SALB.CO","Financials","Salling Bank (SALB.CO)"
"125","Sanistål","SANI.CO","Consumer Services","Sanistål (SANI.CO)"
"126","Scandinavian Brake Systems","SBS.CO","Consumer Goods","Scandinavian Brake Systems (SBS.CO)"
"127","Small Cap Danmark","SCD.CO","Financials","Small Cap Danmark (SCD.CO)"
"128","Silkeborg IF Invest","SIF.CO","Consumer Services","Silkeborg IF Invest (SIF.CO)"
"129","Scandinavian Investment Group","SIG.CO","Industrials","Scandinavian Investment Group (SIG.CO)"
"130","SKAKO","SKAKO.CO","Industrials","SKAKO (SKAKO.CO)"
"131","Skjern Bank","SKJE.CO","Financials","Skjern Bank (SKJE.CO)"
"132","Strategic Investments","STRINV.CO","Financials","Strategic Investments (STRINV.CO)"
"133","TCM Group","TCM.CO","Consumer Goods","TCM Group (TCM.CO)"
"134","Totalbanken","TOTA.CO","Financials","Totalbanken (TOTA.CO)"
